Name,Rating,Genre,Release date,Runtime,Director,Url
Nothing to Lose,55.0,Drama,03/29/2018 (BR),2h 10m,Alexandre Avancini,https://www.themoviedb.org//movie/502581
Shrek the Halls,62.0,"Adventure,Animation,Comedy,Fantasy,Family",11/28/2007 (DE),28m,Gary Trousdale,https://www.themoviedb.org//movie/13394
The Secret of the Magic Gourd,73.0,"Drama,Family,Fantasy",06/29/2007 (US),1h 25m,Jon M. Chu,https://www.themoviedb.org//movie/38057
The Call of the Wild,76.0,"Adventure,Family,Drama",02/21/2020 (US),1h 40m,Chris Sanders,https://www.themoviedb.org//movie/481848
Marvel Studios' 2021 Disney+ Day Special,75.0,Documentary,11/12/2021 (US),14m,Chris Sanders,https://www.themoviedb.org//movie/877188
Legend,69.0,"Crime,Thriller",11/20/2015 (US),2h 12m,Brian Helgeland,https://www.themoviedb.org//movie/276907
Phantom,59.0,Thriller,03/01/2013 (US),1h 39m,Todd Robinson,https://www.themoviedb.org//movie/152259
Silent Hill,65.0,"Horror,Mystery",04/21/2006 (US),2h 5m,Christophe Gans,https://www.themoviedb.org//movie/588
Bleeding Steel,59.0,"Action,Science Fiction,Thriller",12/22/2017 (US),1h 49m,Leo Zhang,https://www.themoviedb.org//movie/460648
Red Sparrow,65.0,"Mystery,Thriller",03/02/2018 (IN),2h 20m,Francis Lawrence,https://www.themoviedb.org//movie/401981
ParaNorman,69.0,"Family,Animation,Adventure,Comedy",08/17/2012 (US),1h 30m,Chris Butler,https://www.themoviedb.org//movie/77174
211,53.0,"Crime,Action,Drama",05/30/2018 (PH),1h 26m,York Alec Shackleton,https://www.themoviedb.org//movie/500919
Kung Fu Hustle,74.0,"Action,Comedy,Crime,Fantasy",04/08/2005 (US),1h 39m,Stephen Chow,https://www.themoviedb.org//movie/9470
Dragon Ball: Episode of Bardock,68.0,"Action,Animation,Science Fiction",12/17/2011 (JP),20m,Akira Toriyama,https://www.themoviedb.org//movie/120475
Death Note,42.0,"Fantasy,Thriller,Crime,Drama,Horror",08/25/2017 (US),1h 41m,Adam Wingard,https://www.themoviedb.org//movie/351460
Phantom of the Kill: Zero's Rebellion,42.0,"Action,Animation,Adventure,Fantasy,Mystery",04/07/2016 (JP),1h 41m,Adam Wingard,https://www.themoviedb.org//movie/413126
The King,72.0,"Drama,History,War",10/11/2019 (IE),2h 20m,David Michôd,https://www.themoviedb.org//movie/504949
I Give My First Love to You,74.0,"Drama,Comedy,Romance",10/24/2009 (JP),2h 2m,Takehiko Shinjo,https://www.themoviedb.org//movie/40700
The Boy in the Striped Pyjamas,79.0,"War,Drama",11/07/2008 (US),1h 34m,Mark Herman,https://www.themoviedb.org//movie/14574
Castle in the Sky,80.0,"Adventure,Fantasy,Animation,Action,Family,Romance",04/01/1989 (US),2h 5m,Hayao Miyazaki,https://www.themoviedb.org//movie/10515
The Dark Tower,57.0,"Fantasy,Action,Science Fiction,Adventure",08/04/2017 (US),1h 35m,Nikolaj Arcel,https://www.themoviedb.org//movie/353491
