Name,Rating,Genre,Release date,Runtime,Director,Budget ($),Revenue ($) ,Url
Leprechaun 3,59.0,"Comedy,Fantasy,Horror",07/05/1995 (US),1h 30m,Mark Jones,-,-,https://www.themoviedb.org//movie/19286
I Believe,70.0,Family,11/07/2017 (US),1h 30m,Juergen Peretzki,-,-,https://www.themoviedb.org//movie/499338
A Clockwork Orange,82.0,"Science Fiction,Drama",12/19/1971 (US),2h 17m,Stanley Kubrick,"$2,200,000.00","$26,589,000.00",https://www.themoviedb.org//movie/185
Scream 4,63.0,"Horror,Mystery",04/11/2011 (US),1h 51m,Kevin Williamson,"$40,000,000.00","$97,231,420.00",https://www.themoviedb.org//movie/41446
Jeepers Creepers: Reborn,63.0,"Horror,Thriller",12/23/2021 (RU),1h 51m,Kevin Williamson,"$40,000,000.00","$97,231,420.00",https://www.themoviedb.org//movie/717728
Fracture,73.0,Thriller,04/20/2007 (US),1h 53m,Gregory Hoblit,"$10,000,000.00","$91,354,215.00",https://www.themoviedb.org//movie/6145
Hoodwinked Too! Hood VS. Evil,52.0,"Comedy,Animation,Family",04/29/2011 (US),1h 26m,Mike Disa,"$30,000,000.00","$13,521,829.00",https://www.themoviedb.org//movie/57089
The Orphanage,72.0,"Horror,Drama,Thriller",12/28/2007 (US),1h 45m,J. A. Bayona,Language,"$3,400,000.00",https://www.themoviedb.org//movie/6537
Stonehearst Asylum,68.0,Thriller,10/23/2014 (RU),1h 52m,Brad Anderson,-,"$2,478,806.00",https://www.themoviedb.org//movie/207933
Happy Death Day,66.0,"Horror,Mystery,Comedy",10/13/2017 (IN),1h 37m,Christopher Landon,"$4,800,000.00","$122,637,878.00",https://www.themoviedb.org//movie/440021
Mission: Impossible,69.0,"Adventure,Action,Thriller",05/22/1996 (US),1h 50m,David Koepp,"$80,000,000.00","$457,731,198.00",https://www.themoviedb.org//movie/954
Torcidos,69.0,Horror,08/27/2021 (ES),1h 50m,David Koepp,"$80,000,000.00","$457,731,198.00",https://www.themoviedb.org//movie/866343
Transporter 3,61.0,"Action,Adventure,Thriller,Crime",12/05/2008 (US),1h 44m,Luc Besson,"$30,000,000.00","$108,979,549.00",https://www.themoviedb.org//movie/13387
Planet 51,58.0,"Family,Comedy,Science Fiction,Adventure,Animation",11/19/2009 (US),1h 31m,Jorge Blanco,"$70,000,000.00","$104,945,765.00",https://www.themoviedb.org//movie/16866
Sky High,62.0,"Adventure,Comedy,Family",07/29/2005 (US),1h 40m,Mike Mitchell,"$35,000,000.00","$86,369,815.00",https://www.themoviedb.org//movie/11459
Men in Black,72.0,"Action,Adventure,Comedy,Science Fiction",07/02/1997 (US),1h 38m,Barry Sonnenfeld,"$90,000,000.00","$589,390,539.00",https://www.themoviedb.org//movie/607
The Autopsy of Jane Doe,67.0,"Horror,Mystery",01/13/2017 (PL),1h 26m,André Øvredal,-,"$5,972,942.00",https://www.themoviedb.org//movie/397243
Trainwreck,58.0,"Comedy,Romance",07/17/2015 (US),2h 5m,Judd Apatow,"$35,000,000.00","$140,795,793.00",https://www.themoviedb.org//movie/271718
Men of Honor,74.0,Drama,11/09/2000 (US),2h 9m,"George Tillman, Jr.","$82,343,495.00","$48,814,909.00",https://www.themoviedb.org//movie/11978
Scooby-Doo! and the Cyber Chase,73.0,"Animation,Adventure,Comedy",10/09/2001 (US),1h 15m,Jim Stenstrum,-,-,https://www.themoviedb.org//movie/15601
Originless,56.0,"Thriller,Horror",10/25/2020 (GB),1h 33m,Rigoberto Castañeda,Language,-,https://www.themoviedb.org//movie/554585
Unforgettable,58.0,"Drama,Thriller",04/21/2017 (IN),1h 40m,Denise Di Novi,"$12,000,000.00","$17,768,012.00",https://www.themoviedb.org//movie/418437
Blade II,65.0,"Fantasy,Horror,Action,Thriller",03/22/2002 (US),1h 57m,Gene Colan,"$54,000,000.00","$155,010,032.00",https://www.themoviedb.org//movie/36586
